#id,fold_cands_filename,f0_new,f1_new,p0_new,p1_new,dm_new,S/N_new,p0_old,dm_old,acc,nh,S/N,ddm_count_ratio,ddm_snr_ratio,nassoc,cand_id_in_file,search_candidates_database_uuid,p1_old,f0_old,f1_old
22,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_22_1.17ms_Cand.pfd,852.4152214974106,5.312939617040885e-17,0.00117313719274432,-3.8604441394173e-11,24.727,4.4,0.00117306025315448,25.1000003814697,-9.82018947601318,0,8.25016975402832,1.0,1.0,0,21,28f93948-3bde-4ef6-a6d1-039033603551,-3.842549619029103e-11,852.4711303710928,5.28761862808742e-17
23,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_23_1.06ms_Cand.pfd,939.122205915717,4.367374277754702e-17,0.0010648241450375699,-3.85180800501086e-11,24.983,3.9,0.00106474292021343,25.0,-11.2177133560181,0,8.23402690887451,1.0,1.0,0,22,3cee750e-d0a6-41d4-aead-dc63f960b19c,-3.9840831742351266e-11,939.1938476562473,4.5166653975579664e-17
24,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_24_1.74ms_Cand.pfd,573.1271383639689,1.1053297677388477e-17,0.00174481355542606,-3.6307288235045e-12,24.331,5.6,0.00174481244703875,25.0400009155273,0.0,0,8.23155212402344,1.0,1.0,0,23,2dcaa20c-4f95-4f99-b012-2a33fea36b23,0.0,573.1275024414078,-0.0
25,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_25_1.37ms_Cand.pfd,731.4638967658642,-2.338760378301696e-16,0.00136712147300975,1.25132902502656e-10,25.581,4.0,0.00136737151452336,25.0,27.0059146881104,0,8.2163257598877,1.0,1.0,0,24,8859809f-3a51-4ec5-85f1-31bcc95122a5,1.2317560860110153e-10,731.3301391601544,-2.3030203387849286e-16
26,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_26_2.44ms_Cand.pfd,409.7636657446956,8.83304428751598e-16,0.00244043111578139,-1.48312344631735e-10,25.85,5.0,0.00244014793992625,25.0799999237061,-17.4388389587402,0,8.19973945617676,1.0,1.0,0,25,7e755ead-a410-48ca-809a-8295051bf564,-1.4194268676323913e-10,409.81121826171886,8.451724580943934e-16
27,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_27_1.02ms_Cand.pfd,976.7496109069992,-9.265610849259185e-18,0.00102380383757861,8.83976154380715e-12,24.801,3.8,0.001023822174886,25.0,2.62188148498535,0,8.18481159210205,1.0,1.0,0,26,1d393ef9-ff2c-4bb3-b181-b2c25db8be31,8.953995781478386e-12,976.7321166992183,-9.385684445284102e-18
28,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_28_2.25ms_Cand.pfd,444.06695799395163,-7.906246070221034e-17,0.00225191264965411,1.55907585584812e-11,24.781,4.7,0.00225193742351914,25.0,1.96285343170166,0,8.18332004547119,1.0,1.0,0,27,ecd65402-3b1e-468d-a803-0bf0c41d4008,1.4744277188360554e-11,444.06207275390597,-7.477150520262854e-17
29,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_29_6.29ms_Cand.pfd,158.8920582488831,-6.717065504780495e-15,0.006293580755519159,1.69583644813199e-10,24.412,4.9,0.00629387385457998,25.0200004577637,6.27522850036621,0,8.16704559326172,1.0,1.0,7,28,9aae7140-9cea-4d99-839f-b666535cb8c3,1.317427958443505e-10,158.88465881347645,-5.218707359704485e-15
30,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_30_1.26ms_Cand.pfd,795.2191663246049,-1.3593736307629534e-16,0.00125751496234914,8.59631891265589e-11,24.568,3.8,0.00125769343139207,25.0499992370605,20.8455200195312,0,8.14910316467285,1.0,1.0,0,29,95d101ce-09e4-4e79-92fd-b497efdc70e4,8.74514114778574e-11,795.1063232421882,-1.3833001017168924e-16
31,RESULTS/J2140-2310B/2022-06-29-20:06:23/ptuse/03_FOLDING/J2140-2310B_Peasoup_fold_candidate_id_31_3.60ms_Cand.pfd,278.0885609069564,3.90563753154747e-16,0.0035959767519332902,-3.02035634682096e-11,24.32,4.8,0.00359588913318968,25.0,-3.63888645172119,0,8.13933563232422,1.0,1.0,0,30,57baf8b3-f1fc-4d33-a83c-06f7453a070c,-4.364696942661373e-11,278.09533691406244,5.643735878474056e-16
