snr,period,dm,acc,nh,ddm_count_ratio,ddm_snr_ratio,nassoc,search_uuid,xml_file,candidate_id_in_file,num_related,related_cands
8.26404095,0.00108874834011398,116.50000000,0.62757057,0,1.00000000,1.00000000,1,1,30c9a4a9-d2bd-42a7-91c0-8bc5e3092ca2,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,22,0,
8.47736073,0.00704128730409785,123.00000000,3.85417795,0,1.00000000,1.00000000,7,7,fb2d5310-e934-408a-80ee-6fed8a158a74,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,12,0,
8.47612095,0.00122002908887715,126.00000000,-3.14225149,1,1.00000000,1.00000000,0,1,5e7fec06-10f7-4feb-baf7-0323482c8b65,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,13,0,
8.19368076,0.00127628083787089,119.00000000,2.38620496,0,1.00000000,1.00000000,1,1,bd39ccbd-8a03-4ef1-aa49-848dc904aeea,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,26,0,
8.20430756,0.00149053830230380,110.50000000,-5.00000000,0,1.00000000,1.00000000,0,1,33778569-9f1a-498e-a7f3-186def3bd6ca,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,25,0,
8.18696022,0.00175685469822986,123.00000000,2.54244757,0,1.00000000,1.00000000,1,2,093e7144-b13f-4680-b8bf-651a3152c7e0,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,27,0,
8.17218208,0.00212362080977301,113.50000000,0.00000000,0,1.00000000,1.00000000,1,2,498f243e-1560-445b-bdfa-f46d9b67ab19,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,28,0,
8.14208317,0.00357243546819641,123.50000000,2.12825608,0,1.00000000,1.00000000,1,4,219ef7cb-92d3-44d8-8fef-d4229984a66b,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,29,0,
8.13874435,0.00399983911779916,111.50000000,-5.00000000,1,1.00000000,1.00000000,0,4,a371a37d-232a-4a60-8710-194a1b816756,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,30,0,
8.13343048,0.00519671817604834,110.00000000,1.11154318,0,1.00000000,1.00000000,1,5,a62259a4-2ce2-4a27-bb47-d8ab79e445c7,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,31,0,
8.05273247,0.00169777914653853,113.50000000,4.90591812,0,1.00000000,1.00000000,0,2,2d8f16d2-b694-4faa-8d3f-2510ca284c09,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,29,0,
8.04616261,0.00155771133186506,115.00000000,-2.37653995,0,1.00000000,1.00000000,0,2,7b243396-b696-4a32-bcfc-260b4dc126b1,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,30,0,
8.02252769,0.00385814352275066,118.50000000,-4.01820183,0,1.00000000,1.00000000,0,4,77542992-52e6-40f1-8120-d00a588769b6,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,39,0,
8.27647114,0.00218809905956079,119.50000000,0.78791732,3,1.00000000,1.00000000,0,2,96d984f0-3968-4c8d-9f59-8bc1906a5fda,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,19,0,
8.49969482,0.00125978943431579,113.50000000,0.66052461,0,1.00000000,1.00000000,0,1,fc7e8b13-d4bb-43d4-9f62-606eeb464a27,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,10,0,
8.49718857,0.00131912801644659,116.00000000,0.00000000,0,1.00000000,1.00000000,2,1,860a12cb-866a-403a-8e40-2f0a99b7c676,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,11,0,
8.01801109,0.00726149561369588,121.50000000,1.75308466,0,1.00000000,1.00000000,1,7,d5923c90-cefb-4184-9796-fb4096428e18,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,31,0,
8.08536148,0.00102716797864012,117.50000000,4.82599926,0,1.00000000,1.00000000,0,1,b366ca8c-8b74-4f58-97b4-3699acccf545,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,26,0,
8.08758831,0.00271266991025871,118.00000000,0.73857880,0,1.00000000,1.00000000,2,3,84cd6982-6aa0-4623-b285-fcaa76765b09,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_13/a3/15abdc2e1aaecda9e64ebba234a44b/output.xml,25,0,
8.34729862,0.00111057523987957,110.00000000,0.09295261,2,1.00000000,1.00000000,0,1,e88106fd-bf5f-4440-8387-2c4329a374e8,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,16,0,
8.28992271,0.00116345977886737,125.50000000,0.00000000,3,1.00000000,1.00000000,0,1,634850ce-5c1b-44fc-bf2e-810fdf43ca68,/bscratch/vishnu/M28_PROCESSING/NEXTFLOW_WORKDIR/m28_test_run_12/36/61a01bdc5d1b170436daea7277d8da/output.xml,17,0,
